target	pattern_matching_similarity	histogram_similarity	matching_top_left	matching_bottom_right
Gdi32_@BatangChe_ANSI_CHARSET.png	0.29090142250061035	1.0	(81, 26)	(159, 63)
Gdi32_@BatangChe_BALTIC_CHARSET.png	0.29090142250061035	1.0	(81, 26)	(159, 63)
Gdi32_@BatangChe_EASTEUROPE_CHARSET.png	0.29090142250061035	1.0	(81, 26)	(159, 63)
Gdi32_@BatangChe_GREEK_CHARSET.png	0.29090142250061035	1.0	(81, 26)	(159, 63)
Gdi32_@BatangChe_HANGEUL_CHARSET.png	0.29090142250061035	1.0	(81, 26)	(159, 63)
Gdi32_@BatangChe_RUSSIAN_CHARSET.png	0.29090142250061035	1.0	(81, 26)	(159, 63)
Gdi32_@BatangChe_TURKISH_CHARSET.png	0.29090142250061035	1.0	(81, 26)	(159, 63)
Gdi32_@Batang_ANSI_CHARSET.png	0.323727548122406	1.0	(46, 25)	(124, 62)
Gdi32_@Batang_BALTIC_CHARSET.png	0.323727548122406	1.0	(46, 25)	(124, 62)
Gdi32_@Batang_EASTEUROPE_CHARSET.png	0.323727548122406	1.0	(46, 25)	(124, 62)
Gdi32_@Batang_GREEK_CHARSET.png	0.323727548122406	1.0	(46, 25)	(124, 62)
Gdi32_@Batang_HANGEUL_CHARSET.png	0.323727548122406	1.0	(46, 25)	(124, 62)
Gdi32_@Batang_RUSSIAN_CHARSET.png	0.323727548122406	1.0	(46, 25)	(124, 62)
Gdi32_@Batang_TURKISH_CHARSET.png	0.323727548122406	1.0	(46, 25)	(124, 62)
Gdi32_@BIZ UDP僑僔僢僋_ANSI_CHARSET.png	0.4041692316532135	1.0	(47, 26)	(125, 63)
Gdi32_@BIZ UDP僑僔僢僋_SHIFTJIS_CHARSET.png	0.4041692316532135	1.0	(47, 26)	(125, 63)
Gdi32_@BIZ UDP柧挬 Medium_ANSI_CHARSET.png	0.35424453020095825	1.0	(46, 26)	(124, 63)
Gdi32_@BIZ UDP柧挬 Medium_SHIFTJIS_CHARSET.png	0.35424453020095825	1.0	(46, 26)	(124, 63)
Gdi32_@BIZ UD僑僔僢僋_ANSI_CHARSET.png	0.2645878493785858	1.0	(81, 23)	(159, 60)
