target	pattern_matching_similarity	histogram_similarity	matching_top_left	matching_bottom_right
Gdi32_Agency FB_DEFAULT_CHARSET.png	1.0	1.0	(18, 18)	(41, 35)
Gdi32_Alef_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(59, 41)
Gdi32_Algerian_DEFAULT_CHARSET.png	1.0	1.0	(30, 18)	(76, 35)
Gdi32_Amiri Quran_ARABIC_CHARSET.png	1.0	1.0	(24, 29)	(59, 66)
Gdi32_Amiri_DEFAULT_CHARSET.png	1.0	1.0	(24, 34)	(59, 61)
Gdi32_Arial Black_DEFAULT_CHARSET.png	1.0	1.0	(30, 21)	(76, 43)
Gdi32_Arial Narrow_DEFAULT_CHARSET.png	1.0	1.0	(23, 18)	(55, 35)
Gdi32_Arial Rounded MT Bold_DEFAULT_CHARSET.png	1.0	1.0	(27, 19)	(67, 37)
Gdi32_Arial_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 35)
Gdi32_Bahnschrift Condensed_DEFAULT_CHARSET.png	1.0	1.0	(20, 20)	(47, 35)
Gdi32_Bahnschrift Light Condensed_DEFAULT_CHARSET.png	1.0	1.0	(20, 20)	(47, 35)
Gdi32_Bahnschrift Light SemiCondensed_DEFAULT_CHARSET.png	1.0	1.0	(23, 20)	(56, 35)
Gdi32_Bahnschrift Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 35)
Gdi32_Bahnschrift SemiBold Condensed_DEFAULT_CHARSET.png	1.0	1.0	(20, 20)	(47, 35)
Gdi32_Bahnschrift SemiBold SemiConden_DEFAULT_CHARSET.png	1.0	1.0	(23, 20)	(56, 35)
Gdi32_Bahnschrift SemiBold_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 35)
Gdi32_Bahnschrift SemiCondensed_DEFAULT_CHARSET.png	1.0	1.0	(23, 20)	(56, 35)
Gdi32_Bahnschrift SemiLight Condensed_DEFAULT_CHARSET.png	1.0	1.0	(20, 20)	(47, 35)
Gdi32_Bahnschrift SemiLight SemiConde_DEFAULT_CHARSET.png	1.0	1.0	(23, 20)	(56, 35)
Gdi32_Bahnschrift SemiLight_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 35)
Gdi32_Bahnschrift_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 35)
Gdi32_Baskerville Old Face_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 37)
Gdi32_BatangChe_DEFAULT_CHARSET.png	0.5770676732063293	1.0	(29, 17)	(71, 32)
Gdi32_Batang_DEFAULT_CHARSET.png	1.0	1.0	(24, 17)	(59, 32)
Gdi32_Bauhaus 93_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(61, 35)
Gdi32_Bell MT_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 35)
Gdi32_Berlin Sans FB Demi_DEFAULT_CHARSET.png	1.0	1.0	(27, 18)	(67, 35)
Gdi32_Berlin Sans FB_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 35)
Gdi32_Bernard MT Condensed_DEFAULT_CHARSET.png	1.0	1.0	(23, 19)	(56, 37)
Gdi32_BIZ UDPÉSÉVÉbÉN_SHIFTJIS_CHARSET.png	1.0	1.0	(29, 17)	(74, 32)
Gdi32_BIZ UDPñæí© Medium_SHIFTJIS_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_BIZ UDÉSÉVÉbÉN_SHIFTJIS_CHARSET.png	0.5601886510848999	1.0	(29, 17)	(71, 32)
Gdi32_BIZ UDñæí© Medium_SHIFTJIS_CHARSET.png	0.5735092163085938	1.0	(29, 17)	(71, 32)
Gdi32_Blackadder ITC_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(58, 40)
Gdi32_Bodoni MT Black_DEFAULT_CHARSET.png	0.9999997615814209	1.0	(28, 19)	(71, 37)
Gdi32_Bodoni MT Condensed_DEFAULT_CHARSET.png	1.0	1.0	(19, 19)	(44, 37)
Gdi32_Bodoni MT Poster Compressed_DEFAULT_CHARSET.png	0.9839131832122803	1.0	(17, 19)	(37, 37)
Gdi32_Bodoni MT_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(25, 19)	(61, 37)
Gdi32_Book Antiqua_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 38)
Gdi32_Bookman Old Style_DEFAULT_CHARSET.png	1.0	1.0	(28, 18)	(70, 35)
Gdi32_Bookshelf Symbol 7_SYMBOL_CHARSET.png	1.0	1.0	(42, 17)	(113, 32)
Gdi32_Bradley Hand ITC_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(59, 38)
Gdi32_Britannic Bold_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(61, 35)
Gdi32_Broadway_DEFAULT_CHARSET.png	1.0	1.0	(28, 18)	(70, 35)
Gdi32_Brush Script MT_DEFAULT_CHARSET.png	0.9882040023803711	1.0	(21, 19)	(49, 38)
Gdi32_Caladea_DEFAULT_CHARSET.png	0.7455045580863953	1.0	(25, 19)	(61, 37)
Gdi32_Calibri Light_DEFAULT_CHARSET.png	1.0	1.0	(23, 19)	(56, 38)
Gdi32_Calibri_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 38)
Gdi32_Californian FB_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(59, 37)
Gdi32_Calisto MT_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 37)
Gdi32_Cambria Math_DEFAULT_CHARSET.png	1.0	1.0	(25, 52)	(61, 67)
Gdi32_Cambria_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 37)
Gdi32_Candara Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(59, 38)
Gdi32_Candara_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(59, 38)
Gdi32_Carlito_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(23, 19)	(56, 38)
Gdi32_Cascadia Code ExtraLight_DEFAULT_CHARSET.png	0.3887809216976166	1.0	(32, 21)	(80, 39)
Gdi32_Cascadia Code Light_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(31, 21)	(79, 39)
Gdi32_Cascadia Code SemiBold_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(31, 21)	(79, 39)
Gdi32_Cascadia Code SemiLight_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(31, 21)	(79, 39)
Gdi32_Cascadia Code_DEFAULT_CHARSET.png	1.0	1.0	(31, 21)	(79, 39)
Gdi32_Cascadia Mono ExtraLight_DEFAULT_CHARSET.png	0.3887809216976166	1.0	(32, 21)	(80, 39)
Gdi32_Cascadia Mono Light_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(31, 21)	(79, 39)
Gdi32_Cascadia Mono SemiBold_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(31, 21)	(79, 39)
Gdi32_Cascadia Mono SemiLight_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(31, 21)	(79, 39)
Gdi32_Cascadia Mono_DEFAULT_CHARSET.png	1.0	1.0	(31, 21)	(79, 39)
Gdi32_Castellar_DEFAULT_CHARSET.png	1.0	1.0	(35, 19)	(92, 38)
Gdi32_Centaur_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 35)
Gdi32_Century Gothic_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(26, 19)	(65, 37)
Gdi32_Century Schoolbook_DEFAULT_CHARSET.png	1.0	1.0	(28, 19)	(70, 37)
Gdi32_Century_DEFAULT_CHARSET.png	1.0	1.0	(28, 19)	(70, 37)
Gdi32_Chiller_DEFAULT_CHARSET.png	1.0	1.0	(19, 19)	(44, 37)
Gdi32_Colonna MT_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(61, 34)
Gdi32_Comic Sans MS_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 40)
Gdi32_Consolas_DEFAULT_CHARSET.png	0.753240168094635	1.0	(29, 19)	(74, 37)
Gdi32_Constantia_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 38)
Gdi32_Cooper Black_DEFAULT_CHARSET.png	1.0	1.0	(28, 19)	(70, 37)
Gdi32_Copperplate Gothic Bold_DEFAULT_CHARSET.png	1.0	1.0	(34, 18)	(89, 35)
Gdi32_Copperplate Gothic Light_DEFAULT_CHARSET.png	1.0	1.0	(32, 18)	(83, 35)
Gdi32_Corbel Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(58, 38)
Gdi32_Corbel_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(58, 38)
Gdi32_Courier New_DEFAULT_CHARSET.png	0.8833202719688416	1.0	(31, 18)	(80, 35)
Gdi32_Curlz MT_DEFAULT_CHARSET.png	1.0	1.0	(24, 20)	(58, 40)
Gdi32_David CLM_DEFAULT_CHARSET.png	0.9217822551727295	1.0	(23, 18)	(56, 34)
Gdi32_David Libre_DEFAULT_CHARSET.png	1.0	1.0	(25, 17)	(61, 32)
Gdi32_DejaVu Math TeX Gyre_DEFAULT_CHARSET.png	1.0	1.0	(29, 41)	(73, 56)
Gdi32_DejaVu Sans Condensed_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(62, 37)
Gdi32_DejaVu Sans Light_DEFAULT_CHARSET.png	0.42706769704818726	1.0	(28, 19)	(68, 37)
Gdi32_DejaVu Sans Mono_DEFAULT_CHARSET.png	0.8420971035957336	1.0	(31, 19)	(80, 37)
Gdi32_DejaVu Sans_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 37)
Gdi32_DejaVu Serif Condensed_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 37)
Gdi32_DejaVu Serif_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(29, 19)	(74, 37)
Gdi32_DengXian Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 34)
Gdi32_DengXian_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(61, 34)
Gdi32_DotumChe_DEFAULT_CHARSET.png	0.5286850333213806	1.0	(29, 17)	(71, 32)
Gdi32_Dotum_DEFAULT_CHARSET.png	1.0	1.0	(24, 17)	(59, 32)
Gdi32_Dubai Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 23)	(58, 49)
Gdi32_Dubai Medium_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(25, 23)	(62, 49)
Gdi32_Dubai_DEFAULT_CHARSET.png	1.0	1.0	(24, 23)	(59, 49)
Gdi32_Dutch801 SWC_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(62, 37)
Gdi32_Ebrima_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Edwardian Script ITC_DEFAULT_CHARSET.png	1.0	1.0	(21, 19)	(49, 37)
Gdi32_Elephant_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(29, 20)	(74, 40)
Gdi32_Engravers MT_DEFAULT_CHARSET.png	1.0	1.0	(41, 19)	(109, 37)
Gdi32_Eras Bold ITC_DEFAULT_CHARSET.png	0.9999998211860657	1.0	(29, 19)	(73, 37)
Gdi32_Eras Demi ITC_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(27, 19)	(67, 37)
Gdi32_Eras Light ITC_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(61, 35)
Gdi32_Eras Medium ITC_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(62, 35)
Gdi32_FangSong_DEFAULT_CHARSET.png	0.5741758346557617	1.0	(29, 17)	(71, 32)
Gdi32_Felix Titling_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(32, 19)	(82, 37)
Gdi32_Footlight MT Light_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 34)
Gdi32_Forte_DEFAULT_CHARSET.png	1.0	1.0	(28, 18)	(70, 35)
Gdi32_Frank Ruehl CLM_DEFAULT_CHARSET.png	0.8902540802955627	1.0	(23, 18)	(56, 34)
Gdi32_Frank Ruhl Hofshi_DEFAULT_CHARSET.png	0.9487581253051758	1.0	(25, 20)	(62, 40)
Gdi32_Franklin Gothic Book_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 35)
Gdi32_Franklin Gothic Demi Cond_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(24, 18)	(58, 35)
Gdi32_Franklin Gothic Demi_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(62, 35)
Gdi32_Franklin Gothic Heavy_DEFAULT_CHARSET.png	1.0	1.0	(26, 18)	(65, 35)
Gdi32_Franklin Gothic Medium Cond_DEFAULT_CHARSET.png	1.0	1.0	(22, 18)	(53, 35)
Gdi32_Franklin Gothic Medium_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(62, 35)
Gdi32_Freestyle Script_DEFAULT_CHARSET.png	1.0	1.0	(19, 19)	(44, 37)
Gdi32_French Script MT_DEFAULT_CHARSET.png	1.0	1.0	(22, 19)	(52, 37)
Gdi32_Gabriola_DEFAULT_CHARSET.png	1.0	0.9998220246300049	(20, 25)	(47, 40)
Gdi32_Gadugi_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 39)
Gdi32_Garamond_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(58, 35)
Gdi32_Gentium Basic_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 37)
Gdi32_Gentium Book Basic_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 37)
Gdi32_Georgia_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 37)
Gdi32_Gigi_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 41)
Gdi32_Gill Sans MT Condensed_DEFAULT_CHARSET.png	1.0	1.0	(19, 19)	(44, 38)
Gdi32_Gill Sans MT Ext Condensed Bold_DEFAULT_CHARSET.png	1.0	1.0	(17, 19)	(37, 37)
Gdi32_Gill Sans MT_DEFAULT_CHARSET.png	1.0	1.0	(24, 19)	(59, 37)
Gdi32_Gill Sans Ultra Bold Condensed_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(24, 19)	(59, 38)
Gdi32_Gill Sans Ultra Bold_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(32, 19)	(83, 38)
Gdi32_Gloucester MT Extra Condensed_DEFAULT_CHARSET.png	1.0	1.0	(19, 19)	(43, 37)
Gdi32_Goudy Old Style_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(61, 35)
Gdi32_Goudy Stout_DEFAULT_CHARSET.png	0.9999998211860657	1.0	(56, 20)	(155, 41)
Gdi32_GulimChe_DEFAULT_CHARSET.png	0.5286850333213806	1.0	(29, 17)	(71, 32)
Gdi32_Gulim_DEFAULT_CHARSET.png	1.0	1.0	(25, 17)	(61, 32)
Gdi32_GungsuhChe_DEFAULT_CHARSET.png	0.6000000238418579	1.0	(29, 17)	(71, 32)
Gdi32_Gungsuh_DEFAULT_CHARSET.png	1.0	1.0	(25, 17)	(62, 32)
Gdi32_Haettenschweiler_DEFAULT_CHARSET.png	1.0	1.0	(18, 18)	(41, 34)
Gdi32_Harlow Solid Italic_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 38)
Gdi32_Harrington_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(64, 37)
Gdi32_Helvetica Compressed_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(21, 19)	(49, 38)
Gdi32_Helvetica Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 38)
Gdi32_Helvetica Rounded_DEFAULT_CHARSET.png	0.9848055839538574	1.0	(27, 20)	(68, 38)
Gdi32_Helvetica_DEFAULT_CHARSET.png	0.8159159421920776	1.0	(24, 19)	(60, 37)
Gdi32_HGPënâpäp∫ﬁºØ∏UB_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(58, 32)
Gdi32_HGPënâpäpŒﬂØÃﬂëÃ_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 17)	(62, 32)
Gdi32_HGPënâpÃﬂ⁄æﬁ›ΩEB_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(59, 32)
Gdi32_HGPã≥â»èëëÃ_SHIFTJIS_CHARSET.png	1.0	1.0	(20, 17)	(47, 32)
Gdi32_HGPñæí©B_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 17)	(64, 32)
Gdi32_HGPñæí©E_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 17)	(61, 32)
Gdi32_HGPçsèëëÃ_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(58, 32)
Gdi32_HGP∫ﬁºØ∏E_SHIFTJIS_CHARSET.png	1.0	1.0	(23, 17)	(56, 32)
Gdi32_HGP∫ﬁºØ∏M_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(58, 32)
Gdi32_HGSënâpäp∫ﬁºØ∏UB_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(58, 32)
Gdi32_HGSënâpäpŒﬂØÃﬂëÃ_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 17)	(62, 32)
Gdi32_HGSënâpÃﬂ⁄æﬁ›ΩEB_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(59, 32)
Gdi32_HGSã≥â»èëëÃ_SHIFTJIS_CHARSET.png	1.0	1.0	(20, 17)	(47, 32)
Gdi32_HGSñæí©B_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 17)	(64, 32)
Gdi32_HGSñæí©E_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 17)	(61, 32)
Gdi32_HGSçsèëëÃ_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(58, 32)
Gdi32_HGS∫ﬁºØ∏E_SHIFTJIS_CHARSET.png	1.0	1.0	(23, 17)	(56, 32)
Gdi32_HGS∫ﬁºØ∏M_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(58, 32)
Gdi32_HGä€∫ﬁºØ∏M-PRO_SHIFTJIS_CHARSET.png	1.0	1.0	(27, 17)	(67, 32)
Gdi32_HGënâpäp∫ﬁºØ∏UB_SHIFTJIS_CHARSET.png	0.625240683555603	1.0	(29, 17)	(71, 32)
Gdi32_HGënâpäpŒﬂØÃﬂëÃ_SHIFTJIS_CHARSET.png	0.7236303091049194	1.0	(29, 17)	(71, 32)
Gdi32_HGënâpÃﬂ⁄æﬁ›ΩEB_SHIFTJIS_CHARSET.png	0.5661583542823792	1.0	(29, 17)	(71, 32)
Gdi32_HGã≥â»èëëÃ_SHIFTJIS_CHARSET.png	0.4947015345096588	1.0	(29, 17)	(71, 32)
Gdi32_HGñæí©B_SHIFTJIS_CHARSET.png	0.6145104765892029	1.0	(29, 17)	(71, 32)
Gdi32_HGñæí©E_SHIFTJIS_CHARSET.png	0.6833761930465698	1.0	(29, 17)	(71, 32)
Gdi32_HGê≥û≤èëëÃ-PRO_SHIFTJIS_CHARSET.png	1.0	1.0	(26, 17)	(64, 32)
Gdi32_HGçsèëëÃ_SHIFTJIS_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_HG∫ﬁºØ∏E_SHIFTJIS_CHARSET.png	0.699675440788269	1.0	(29, 17)	(71, 32)
Gdi32_HG∫ﬁºØ∏M_SHIFTJIS_CHARSET.png	0.5373532176017761	1.0	(29, 17)	(71, 32)
Gdi32_High Tower Text_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 37)
Gdi32_Impact_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(24, 19)	(59, 38)
Gdi32_Imprint MT Shadow_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 37)
Gdi32_Informal Roman_DEFAULT_CHARSET.png	1.0	1.0	(22, 18)	(52, 34)
Gdi32_Ink Free_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(23, 19)	(55, 38)
Gdi32_Javanese Text_DEFAULT_CHARSET.png	1.0	1.0	(26, 27)	(64, 62)
Gdi32_Jokerman_DEFAULT_CHARSET.png	1.0	1.0	(27, 21)	(68, 44)
Gdi32_Juice ITC_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(18, 18)	(41, 35)
Gdi32_KaiTi_DEFAULT_CHARSET.png	0.6123770475387573	1.0	(29, 17)	(71, 32)
Gdi32_Kristen ITC_DEFAULT_CHARSET.png	1.0	1.0	(27, 20)	(68, 41)
Gdi32_Kunstler Script_DEFAULT_CHARSET.png	1.0	1.0	(20, 18)	(47, 35)
Gdi32_Leelawadee UI Semilight_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(61, 40)
Gdi32_Leelawadee UI_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Liberation Mono_DEFAULT_CHARSET.png	0.8699336647987366	1.0	(31, 18)	(80, 35)
Gdi32_Liberation Sans Narrow_DEFAULT_CHARSET.png	1.0	0.9994799908749142	(23, 20)	(55, 35)
Gdi32_Liberation Sans_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(59, 35)
Gdi32_Liberation Serif_DEFAULT_CHARSET.png	1.0	1.0	(24, 18)	(58, 35)
Gdi32_Linux Biolinum G_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(62, 37)
Gdi32_Linux Libertine Display G_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(61, 37)
Gdi32_Linux Libertine G_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(62, 37)
Gdi32_Lucida Bright_DEFAULT_CHARSET.png	1.0	1.0	(28, 19)	(71, 37)
Gdi32_Lucida Calligraphy_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(29, 19)	(74, 38)
Gdi32_Lucida Console_DEFAULT_CHARSET.png	0.8265495896339417	0.9991328034011866	(32, 17)	(82, 32)
Gdi32_Lucida Fax_DEFAULT_CHARSET.png	1.0	1.0	(28, 19)	(70, 37)
Gdi32_Lucida Handwriting_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(30, 20)	(77, 40)
Gdi32_Lucida Sans Typewriter_DEFAULT_CHARSET.png	0.8217468857765198	1.0	(32, 18)	(82, 35)
Gdi32_Lucida Sans Unicode_DEFAULT_CHARSET.png	1.0	1.0	(27, 21)	(68, 45)
Gdi32_Lucida Sans_DEFAULT_CHARSET.png	1.0	1.0	(29, 19)	(73, 37)
Gdi32_Magneto_DEFAULT_CHARSET.png	0.9855115413665771	1.0	(31, 19)	(80, 38)
Gdi32_Maiandra GD_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 37)
Gdi32_Malgun Gothic Semilight_SHIFTJIS_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Malgun Gothic_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Marlett_SYMBOL_CHARSET.png	0.846966028213501	1.0	(42, 17)	(113, 32)
Gdi32_Matura MT Script Capitals_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Meiryo UI_SHIFTJIS_CHARSET.png	1.0	1.0	(27, 20)	(67, 40)
Gdi32_Microsoft Himalaya_DEFAULT_CHARSET.png	1.0	1.0	(19, 17)	(44, 32)
Gdi32_Microsoft JhengHei Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 19)	(62, 39)
Gdi32_Microsoft JhengHei UI Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Microsoft JhengHei UI_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft JhengHei_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 39)
Gdi32_Microsoft New Tai Lue_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft PhagsPa_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft Sans Serif_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(62, 35)
Gdi32_Microsoft Tai Le_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(26, 20)	(65, 40)
Gdi32_Microsoft YaHei Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Microsoft YaHei UI Light_DEFAULT_CHARSET.png	1.0	1.0	(25, 20)	(62, 40)
Gdi32_Microsoft YaHei UI_DEFAULT_CHARSET.png	1.0	1.0	(28, 20)	(70, 40)
Gdi32_Microsoft YaHei_DEFAULT_CHARSET.png	1.0	1.0	(28, 20)	(70, 40)
Gdi32_Microsoft Yi Baiti_DEFAULT_CHARSET.png	1.0	1.0	(21, 17)	(50, 32)
Gdi32_MingLiU-ExtB_DEFAULT_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_MingLiU_HKSCS-ExtB_DEFAULT_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_MingLiU_MSCS-ExtB_DEFAULT_CHARSET.png	1.0	1.0	(28, 17)	(71, 32)
Gdi32_Miriam CLM_DEFAULT_CHARSET.png	0.5913167595863342	1.0	(25, 19)	(62, 36)
Gdi32_Miriam Libre_DEFAULT_CHARSET.png	1.0	1.0	(26, 20)	(65, 40)
Gdi32_Miriam Mono CLM_HEBREW_CHARSET.png	1.0	1.0	(31, 18)	(79, 35)
Gdi32_Mistral_DEFAULT_CHARSET.png	0.9999998807907104	1.0	(21, 19)	(49, 38)
Gdi32_Modern No. 20_DEFAULT_CHARSET.png	1.0	1.0	(26, 18)	(64, 34)
Gdi32_Mongolian Baiti_DEFAULT_CHARSET.png	1.0	1.0	(25, 18)	(62, 34)
Gdi32_Monotype Corsiva_DEFAULT_CHARSET.png	1.0	1.0	(23, 18)	(56, 35)
Gdi32_MS Outlook_SYMBOL_CHARSET.png	1.0	1.0	(28, 18)	(71, 34)
Gdi32_MS Reference Sans Serif_DEFAULT_CHARSET.png	1.0	1.0	(26, 19)	(65, 38)
Gdi32_MS Reference Specialty_SYMBOL_CHARSET.png	1.0	1.0	(45, 19)	(121, 38)
Gdi32_MS UI Gothic_SHIFTJIS_CHARSET.png	1.0	1.0	(24, 17)	(59, 32)
Gdi32_MT Extra_SYMBOL_CHARSET.png	1.0	1.0	(25, 18)	(62, 34)
Gdi32_MV Boli_DEFAULT_CHARSET.png	0.9999999403953552	1.0	(25, 21)	(62, 46)
Gdi32_Myanmar Text_DEFAULT_CHARSET.png	1.0	1.0	(26, 24)	(65, 52)
